res = 97 97 97
center = 0.00000000000000000000e+00 0.00000000000000000000e+00 0.00000000000000000000e+00
lengths = 3.06185579299926757812e+00 3.06185579299926757812e+00 3.06185579299926757812e+00
total roots = 178
(1.69373035430908203125e-01 -1.12853682041168212891e+00 -4.85448479652404785156e-01 0.00000000000000000000e+00)
(8.52269887924194335938e-01 -8.31502318382263183594e-01 -1.84417486190795898438e-01 0.00000000000000000000e+00)
(1.38814902305603027344e+00 -1.88046813011169433594e-01 -1.16540729999542236328e+00 0.00000000000000000000e+00)
(-7.41204023361206054688e-02 7.30456352233886718750e-01 -6.60327434539794921875e-01 0.00000000000000000000e+00)
(-9.94102597236633300781e-01 -8.43914031982421875000e-01 -3.86866092681884765625e-01 0.00000000000000000000e+00)
(-1.13930082321166992188e+00 -9.14817333221435546875e-01 6.31014108657836914062e-01 0.00000000000000000000e+00)
(-7.82522678375244140625e-01 1.59472703933715820312e-01 -1.41933572292327880859e+00 0.00000000000000000000e+00)
(2.07464694976806640625e-02 2.67844915390014648438e-01 1.08816146850585937500e+00 0.00000000000000000000e+00)
(-1.01457655429840087891e+00 7.31302976608276367188e-01 8.36899757385253906250e-01 0.00000000000000000000e+00)
(-9.28065776824951171875e-01 1.03182935714721679688e+00 1.03966164588928222656e+00 0.00000000000000000000e+00)
(-1.09142625331878662109e+00 5.11799573898315429688e-01 1.16101193428039550781e+00 0.00000000000000000000e+00)
(-6.16765499114990234375e-01 -8.55271100997924804688e-01 -1.39735937118530273438e+00 0.00000000000000000000e+00)
(-1.03102058172225952148e+00 1.06998491287231445312e+00 1.34744668006896972656e+00 0.00000000000000000000e+00)
(1.34176206588745117188e+00 1.85716152191162109375e-02 -1.05274325609207153320e+00 0.00000000000000000000e+00)
(6.13186836242675781250e-01 3.88759136199951171875e-01 -1.35619378089904785156e+00 0.00000000000000000000e+00)
(-1.37458753585815429688e+00 -2.94462442398071289062e-02 2.58281946182250976562e-01 0.00000000000000000000e+00)
(1.06735777854919433594e+00 -4.09187078475952148438e-01 1.54399871826171875000e-03 0.00000000000000000000e+00)
(1.01708698272705078125e+00 2.94543266296386718750e-01 -3.70115756988525390625e-01 0.00000000000000000000e+00)
(-1.40593159198760986328e+00 -3.11848163604736328125e-01 -3.30714941024780273438e-01 0.00000000000000000000e+00)
(5.38002967834472656250e-01 2.36513614654541015625e-02 3.72919797897338867188e-01 0.00000000000000000000e+00)
(9.08861160278320312500e-02 3.99481296539306640625e-01 1.19249534606933593750e+00 0.00000000000000000000e+00)
(-7.18994140625000000000e-02 4.02586936950683593750e-01 1.26238751411437988281e+00 0.00000000000000000000e+00)
(-7.51492738723754882812e-01 -8.81748318672180175781e-01 -1.33232104778289794922e+00 0.00000000000000000000e+00)
(-1.69631481170654296875e-01 9.50524806976318359375e-02 9.70035552978515625000e-01 0.00000000000000000000e+00)
(6.42372846603393554688e-01 -5.74918746948242187500e-01 3.08008670806884765625e-01 0.00000000000000000000e+00)
(-1.04233008623123168945e+00 -1.01007080078125000000e+00 2.21827030181884765625e-01 0.00000000000000000000e+00)
(7.45714187622070312500e-01 5.10552406311035156250e-01 -8.26568245887756347656e-01 0.00000000000000000000e+00)
(1.08058214187622070312e-01 7.14138269424438476562e-01 -4.10471677780151367188e-01 0.00000000000000000000e+00)
(1.90585851669311523438e-01 4.20063018798828125000e-01 -2.40681171417236328125e-02 0.00000000000000000000e+00)
(-9.11192297935485839844e-01 -5.90851068496704101562e-01 -1.40639835596084594727e+00 0.00000000000000000000e+00)
(4.61431503295898437500e-01 -1.08292078971862792969e+00 -8.63316297531127929688e-01 0.00000000000000000000e+00)
(2.12386131286621093750e-01 4.72676515579223632812e-01 -1.37478739023208618164e+00 0.00000000000000000000e+00)
(1.88431024551391601562e-01 -8.92288088798522949219e-01 -1.41734689474105834961e+00 0.00000000000000000000e+00)
(-1.11446595191955566406e+00 7.82513618469238281250e-01 1.26586866378784179688e+00 0.00000000000000000000e+00)
(-6.61329030990600585938e-01 4.13484096527099609375e-01 -3.38146805763244628906e-01 0.00000000000000000000e+00)
(1.00113630294799804688e+00 -9.53614711761474609375e-02 -1.38313674926757812500e+00 0.00000000000000000000e+00)
(-3.53121757507324218750e-03 -1.05506861209869384766e+00 -3.17491531372070312500e-01 0.00000000000000000000e+00)
(-1.97154760360717773438e-01 -1.01910555362701416016e+00 -1.35550707578659057617e+00 0.00000000000000000000e+00)
(-9.88774538040161132812e-01 -7.09724426269531250000e-01 8.28322410583496093750e-01 0.00000000000000000000e+00)
(1.00638628005981445312e-01 4.73143815994262695312e-01 1.32327055931091308594e+00 0.00000000000000000000e+00)
(4.40457344055175781250e-01 6.41820907592773437500e-01 -4.77105140686035156250e-01 0.00000000000000000000e+00)
(1.16288590431213378906e+00 -2.22270488739013671875e-02 -2.25948333740234375000e-01 0.00000000000000000000e+00)
(3.96101474761962890625e-02 6.88974857330322265625e-01 -8.98829460144042968750e-01 0.00000000000000000000e+00)
(-1.01059871912002563477e+00 8.56566905975341796875e-01 8.87728214263916015625e-01 0.00000000000000000000e+00)
(1.45448446273803710938e+00 -2.52138733863830566406e-01 -7.61104583740234375000e-01 0.00000000000000000000e+00)
(-9.60576534271240234375e-02 3.05709362030029296875e-01 1.44959735870361328125e+00 0.00000000000000000000e+00)
(1.06688547134399414062e+00 -6.90350770950317382812e-01 -3.39074850082397460938e-01 0.00000000000000000000e+00)
(-7.22530722618103027344e-01 -8.81598830223083496094e-01 -3.77740621566772460938e-01 0.00000000000000000000e+00)
(-7.66314506530761718750e-01 3.75444173812866210938e-01 -5.51994323730468750000e-01 0.00000000000000000000e+00)
(-1.12740004062652587891e+00 3.17410707473754882812e-01 1.04610824584960937500e+00 0.00000000000000000000e+00)
(7.94592380523681640625e-01 4.24904346466064453125e-01 -1.08562320470809936523e+00 0.00000000000000000000e+00)
(-1.34388923645019531250e-01 6.91118955612182617188e-01 -4.31113481521606445312e-01 0.00000000000000000000e+00)
(-3.35446357727050781250e-01 5.07005453109741210938e-01 -1.44139397144317626953e+00 0.00000000000000000000e+00)
(-1.28034985065460205078e+00 -1.65902137756347656250e-01 8.51771354675292968750e-01 0.00000000000000000000e+00)
(7.05546855926513671875e-01 1.76100730895996093750e-01 2.03935861587524414062e-01 0.00000000000000000000e+00)
(-3.97610306739807128906e-01 5.09126186370849609375e-02 1.24882984161376953125e+00 0.00000000000000000000e+00)
(-9.84140992164611816406e-01 -2.15222120285034179688e-01 -1.40493780374526977539e+00 0.00000000000000000000e+00)
(-9.53081369400024414062e-01 5.89823722839355468750e-02 -1.43101006746292114258e+00 0.00000000000000000000e+00)
(-1.30154168605804443359e+00 6.62236213684082031250e-02 -2.67337083816528320312e-01 0.00000000000000000000e+00)
(1.34815526008605957031e+00 -4.81939435005187988281e-01 -1.13292610645294189453e+00 0.00000000000000000000e+00)
(3.58115196228027343750e-01 -1.06794732809066772461e+00 -1.00526106357574462891e+00 0.00000000000000000000e+00)
(2.49810695648193359375e-01 -7.53371477127075195312e-01 1.97484493255615234375e-01 0.00000000000000000000e+00)
(-1.26400637626647949219e+00 -5.85057735443115234375e-02 -6.30540490150451660156e-01 0.00000000000000000000e+00)
(-1.25546848773956298828e+00 -6.50736808776855468750e-01 -3.72133493423461914062e-01 0.00000000000000000000e+00)
(6.42032146453857421875e-01 -1.78196668624877929688e-01 3.89344692230224609375e-01 0.00000000000000000000e+00)
(3.01373958587646484375e-01 -1.02566456794738769531e+00 -2.26986885070800781250e-01 0.00000000000000000000e+00)
(-8.56426715850830078125e-01 -7.73969769477844238281e-01 -1.26579618453979492188e+00 0.00000000000000000000e+00)
(-6.76844358444213867188e-01 3.78975868225097656250e-01 -9.27261114120483398438e-02 0.00000000000000000000e+00)
(-1.41629320383071899414e+00 -7.17380166053771972656e-01 1.20226860046386718750e-01 0.00000000000000000000e+00)
(-1.16654884815216064453e+00 7.03745841979980468750e-01 1.18646621704101562500e+00 0.00000000000000000000e+00)
(-1.23130214214324951172e+00 8.84387493133544921875e-02 3.87426137924194335938e-01 0.00000000000000000000e+00)
(7.24869489669799804688e-01 -7.57900714874267578125e-01 -1.36592411994934082031e+00 0.00000000000000000000e+00)
(-5.61640262603759765625e-02 -1.08811902999877929688e+00 -5.54582834243774414062e-01 0.00000000000000000000e+00)
(7.24768400192260742188e-01 -9.89681482315063476562e-01 -4.86438751220703125000e-01 0.00000000000000000000e+00)
(-5.46104907989501953125e-02 4.50063228607177734375e-01 -1.43484008312225341797e+00 0.00000000000000000000e+00)
(1.13022136688232421875e+00 1.56835794448852539062e-01 -5.19898295402526855469e-01 0.00000000000000000000e+00)
(-1.29069274663925170898e+00 -9.25306081771850585938e-01 5.42843103408813476562e-01 0.00000000000000000000e+00)
(8.64981651306152343750e-01 -6.36327147483825683594e-01 1.09348773956298828125e-01 0.00000000000000000000e+00)
(-9.17138814926147460938e-01 -8.98088455200195312500e-01 3.08004856109619140625e-01 0.00000000000000000000e+00)
(-1.08341360092163085938e+00 -7.07668542861938476562e-01 -6.33075475692749023438e-01 0.00000000000000000000e+00)
(-8.98025631904602050781e-01 1.03199386596679687500e+00 1.12929368019104003906e+00 0.00000000000000000000e+00)
(-9.33845520019531250000e-01 1.07989859580993652344e+00 1.31716704368591308594e+00 0.00000000000000000000e+00)
(1.42539739608764648438e+00 -6.46016597747802734375e-02 -8.75766515731811523438e-01 0.00000000000000000000e+00)
(-1.13692414760589599609e+00 2.19634056091308593750e-01 -1.79679036140441894531e-01 0.00000000000000000000e+00)
(8.26180219650268554688e-01 -8.63135218620300292969e-01 -9.74364399909973144531e-01 0.00000000000000000000e+00)
(2.53980159759521484375e-01 6.46870136260986328125e-01 -3.13338041305541992188e-01 0.00000000000000000000e+00)
(1.45545530319213867188e+00 -4.09735202789306640625e-01 -8.25470685958862304688e-01 0.00000000000000000000e+00)
(-8.86515617370605468750e-01 3.31047534942626953125e-01 -6.07352256774902343750e-01 0.00000000000000000000e+00)
(1.24883389472961425781e+00 -5.98899483680725097656e-01 -1.06674855947494506836e+00 0.00000000000000000000e+00)
(-1.05998349189758300781e+00 2.61172771453857421875e-01 1.04394960403442382812e+00 0.00000000000000000000e+00)
(1.04189300537109375000e+00 2.55168437957763671875e-01 -7.56013989448547363281e-01 0.00000000000000000000e+00)
(-1.38867008686065673828e+00 -4.34627532958984375000e-01 -2.40783214569091796875e-01 0.00000000000000000000e+00)
(-4.64866161346435546875e-02 1.83364391326904296875e-01 1.08020019531250000000e+00 0.00000000000000000000e+00)
(-1.37855601310729980469e+00 -1.12579703330993652344e-01 -2.57022142410278320312e-01 0.00000000000000000000e+00)
(5.31658649444580078125e-01 3.34729433059692382812e-01 8.58125686645507812500e-02 0.00000000000000000000e+00)
(4.01724815368652343750e-01 4.05916213989257812500e-01 -1.41439640522003173828e+00 0.00000000000000000000e+00)
(5.97240924835205078125e-01 5.16975402832031250000e-01 -3.07594537734985351562e-01 0.00000000000000000000e+00)
(-1.36465847492218017578e+00 -9.20520186424255371094e-01 3.90475034713745117188e-01 0.00000000000000000000e+00)
(-1.15194159746170043945e+00 -4.37284231185913085938e-01 9.15550708770751953125e-01 0.00000000000000000000e+00)
(-8.26116085052490234375e-01 -8.41559171676635742188e-01 -5.86352467536926269531e-01 0.00000000000000000000e+00)
(-1.41886603832244873047e+00 -8.60573291778564453125e-01 2.07567691802978515625e-01 0.00000000000000000000e+00)
(4.99444007873535156250e-01 -4.34949517250061035156e-01 4.13883209228515625000e-01 0.00000000000000000000e+00)
(-1.14831733703613281250e+00 1.65222406387329101562e-01 -6.05101227760314941406e-01 0.00000000000000000000e+00)
(-1.05627048015594482422e+00 5.91986656188964843750e-01 8.05399894714355468750e-01 0.00000000000000000000e+00)
(9.69748973846435546875e-01 -1.39351606369018554688e-01 1.51077032089233398438e-01 0.00000000000000000000e+00)
(1.24322462081909179688e+00 -1.33172273635864257812e-02 -1.21457064151763916016e+00 0.00000000000000000000e+00)
(-3.18110108375549316406e-01 -9.33696508407592773438e-01 -1.37436127662658691406e+00 0.00000000000000000000e+00)
(-6.30054473876953125000e-02 4.20267343521118164062e-01 1.37018871307373046875e+00 0.00000000000000000000e+00)
(1.05187749862670898438e+00 3.20868492126464843750e-02 -1.28939801454544067383e+00 0.00000000000000000000e+00)
(1.16559791564941406250e+00 -4.89462614059448242188e-01 -3.11246871948242187500e-01 0.00000000000000000000e+00)
(5.40179729461669921875e-01 -9.83340144157409667969e-01 -1.10423433780670166016e+00 0.00000000000000000000e+00)
(5.21971702575683593750e-01 5.50555229187011718750e-01 -1.09262138605117797852e+00 0.00000000000000000000e+00)
(-1.02200073003768920898e+00 -1.03671908378601074219e-01 -1.41936188936233520508e+00 0.00000000000000000000e+00)
(-1.59325599670410156250e-02 4.03610229492187500000e-01 1.46212220191955566406e+00 0.00000000000000000000e+00)
(-4.08015847206115722656e-01 -2.68207788467407226562e-02 1.08174180984497070312e+00 0.00000000000000000000e+00)
(2.03170776367187500000e-01 -1.08110409975051879883e+00 -2.96424388885498046875e-01 0.00000000000000000000e+00)
(-1.35795289278030395508e+00 -4.66742515563964843750e-02 4.85671997070312500000e-01 0.00000000000000000000e+00)
(-1.39009058475494384766e+00 -3.01952838897705078125e-01 8.14641475677490234375e-01 0.00000000000000000000e+00)
(1.70016288757324218750e-01 -1.09023463726043701172e+00 -8.74126434326171875000e-01 0.00000000000000000000e+00)
(-1.15974032878875732422e+00 -7.23452925682067871094e-01 -4.93394374847412109375e-01 0.00000000000000000000e+00)
(-2.76286721229553222656e-01 2.70788192749023437500e-01 1.07756114006042480469e+00 0.00000000000000000000e+00)
(-7.75201320648193359375e-02 1.40550136566162109375e-01 -1.36908185482025146484e+00 0.00000000000000000000e+00)
(3.94459009170532226562e-01 -8.40353012084960937500e-01 -1.41692805290222167969e+00 0.00000000000000000000e+00)
(-1.84711217880249023438e-01 2.13391065597534179688e-01 1.39551305770874023438e+00 0.00000000000000000000e+00)
(9.48510885238647460938e-01 -4.97708678245544433594e-01 1.33744478225708007812e-01 0.00000000000000000000e+00)
(9.47759151458740234375e-01 -7.84166097640991210938e-01 -9.40903902053833007812e-01 0.00000000000000000000e+00)
(-9.17659878730773925781e-01 -7.30307102203369140625e-01 -1.35126578807830810547e+00 0.00000000000000000000e+00)
(-1.15530747175216674805e+00 7.95933723449707031250e-01 1.24583792686462402344e+00 0.00000000000000000000e+00)
(-8.00758123397827148438e-01 -8.45606446266174316406e-01 -1.40678000450134277344e+00 0.00000000000000000000e+00)
(-1.19521749019622802734e+00 -2.90839552879333496094e-01 -7.53271460533142089844e-01 0.00000000000000000000e+00)
(-7.37764835357666015625e-02 -1.07852816581726074219e+00 -4.49218630790710449219e-01 0.00000000000000000000e+00)
(3.20470809936523437500e-01 -5.75062274932861328125e-01 3.64968299865722656250e-01 0.00000000000000000000e+00)
(2.26303100585937500000e-01 5.88068962097167968750e-01 -1.14271610975265502930e+00 0.00000000000000000000e+00)
(-1.04541563987731933594e+00 -9.17182445526123046875e-01 5.68440914154052734375e-01 0.00000000000000000000e+00)
(-1.00171828269958496094e+00 9.71618652343750000000e-01 9.71358299255371093750e-01 0.00000000000000000000e+00)
(9.48798656463623046875e-01 2.26184368133544921875e-01 -7.95072317123413085938e-02 0.00000000000000000000e+00)
(6.84824943542480468750e-01 2.46845245361328125000e-01 -1.38439452648162841797e+00 0.00000000000000000000e+00)
(6.95891380310058593750e-02 -9.79356050491333007812e-01 -1.36962509155273437500e+00 0.00000000000000000000e+00)
(7.78663158416748046875e-01 -2.07653045654296875000e-02 2.80815601348876953125e-01 0.00000000000000000000e+00)
(5.72268247604370117188e-01 -1.06728184223175048828e+00 -6.55463933944702148438e-01 0.00000000000000000000e+00)
(-1.33746361732482910156e+00 -2.99538373947143554688e-01 -5.47166943550109863281e-01 0.00000000000000000000e+00)
(-5.88816046714782714844e-01 -7.86643028259277343750e-02 1.08312702178955078125e+00 0.00000000000000000000e+00)
(9.52182769775390625000e-01 3.21633100509643554688e-01 -9.16308164596557617188e-01 0.00000000000000000000e+00)
(9.82993125915527343750e-01 -8.04513216018676757812e-01 -4.45261955261230468750e-01 0.00000000000000000000e+00)
(-1.35070025920867919922e+00 -6.13219261169433593750e-01 7.74579048156738281250e-01 0.00000000000000000000e+00)
2.87957669513434595387e+01
1.22872595204464516968e-04
1.47727616540743822426e+00
6.17483233948889331799e+00
2.65521743643637613275e+01
6.53785929178060598588e+00
5.90026519782811309511e+00
5.18867340378267272172e+00
4.66047355637057769684e+00
2.95023434902572967431e+00
1.45951826457916089552e+00
1.06405792855630778604e+01
1.08796931366429872057e+00
2.07382741417238669612e+00
7.43129819417101078471e+00
4.46761683455386382491e+00
5.43888735814447876749e+00
0.00000000000000000000e+00
7.61396745441033129254e+00
1.32088336103721060155e+00
6.50888370124483817136e+00
9.61637452834027683934e-01
5.52198965562888677283e+00
6.11382107002482300118e+00
5.93839023040448488189e+00
2.27070672718076416174e+01
0.00000000000000000000e+00
6.33189548770224597263e+00
3.57574769214038434839e+00
2.65967600627272293679e+00
5.76731992114427605145e+00
4.59070014880597287998e+00
4.41884783373955247754e+00
4.86046113744810437396e+00
3.72923554085027886273e+00
1.02053149020520113055e+01
5.31483245220951605603e+00
3.19928633772255777146e+00
4.69596463862280533164e+00
1.30731927976270707603e+01
7.67540720928314157412e-01
1.24664758146866749833e+00
6.39240376172448065972e+00
7.58135531883909363771e-01
7.35986994666288119049e+00
1.68987688551011352445e+01
6.02703476775027091605e+00
6.67684608217742070480e+00
6.37709080836475994403e+00
3.33073538203091512599e+00
3.75752833996900692526e+00
4.00888357646412174518e+00
1.07031909222161125683e+00
7.21816799853862089975e+00
2.23867045533857789152e+00
2.96786534742919627661e+00
2.72011198939899556670e-01
5.32871253891959462123e+00
5.58593320966934658856e+00
3.28062477999244661575e+00
3.90670125654804634152e+00
0.00000000000000000000e+00
1.28231984392636206849e+01
1.23702106650243282004e+00
3.91269210535910971771e+00
4.59164948283032980925e+00
3.07558345912209274431e+00
4.23084780111517677614e-01
6.37448033009932135684e+00
1.88954581911946650763e+00
3.82453482644624864761e+00
6.64101806941639427606e+00
6.34720401588122129510e+00
3.02356701701948038519e+00
5.76701455133575624501e+00
3.65872946276517341246e+00
3.97671224824482560933e+00
7.76574868980911148242e+00
5.11801399351649433100e+00
3.27155010996020534364e+00
1.18793500021755038532e+00
1.42547449450483676436e+00
8.64432667881754213113e+00
4.36391139135665806492e+00
4.27624741096876714863e+00
1.03461490092312153877e+01
2.94046029887286186622e+00
1.12646200972394461282e+00
2.95085777655522196739e+00
9.45943257680623972306e+00
7.21091084195186837746e+00
7.73436533395056025064e-01
6.82616412351928047997e+00
1.75263953429911722992e+00
2.49994108185366448183e+00
3.71778491199469351969e+00
1.08995702755725032418e+00
2.00761572360340112553e+00
2.26116657770122353455e+00
1.65600783836372711377e+00
0.00000000000000000000e+00
4.20983714455153368306e+00
4.71374210218673539430e+00
2.66425613942299110200e-04
8.02287333565136684399e+00
3.30827800097675295277e+00
1.61219172317977266218e+00
9.96173855729298907136e+00
2.03207023310382206560e+00
6.08337226776141193341e+00
3.62250973425706979114e+00
1.86255954591254968555e+00
1.22164379561053038081e+00
2.45063680317871401826e+00
1.60965138818568647139e+01
1.22269250145382759598e+01
1.49482068659651257114e+00
1.34651040061715243645e+00
2.61120797745936261691e+00
9.60380049959470127874e+00
1.92254203423297820308e+00
5.34915043754564578649e+00
1.96316494866319879442e+00
1.37298983071598053318e-02
1.59253946835742055121e+00
2.17376464381841749685e+00
4.09058916168360386934e+00
1.94426034204304665209e+00
4.53304240464207630623e+00
1.22716161061579431824e+00
6.33978642734867925412e+00
9.07229462375120226936e-02
2.24465264820723264805e+00
5.79848064894480419440e+00
1.84780333802148177824e+00
2.87030848208084465867e+00
2.29537566183920738183e+00
1.93161008064371042536e+00
3.46862766300515490414e+00
6.65444000423229464758e+00
1.61264193875525840838e+00
2.43174401387665195529e+00
2.52424038135895489887e+00
3.19957871002682914252e+00
1.75886859160227992938e+00
3.75999511258923257984e+00
1.15343289824034016533e+01
6.99156848725353530227e+00
1.16473270775490855833e+00
1.84199941738073635911e+00
6.59019974765002825023e+00
2.41074315093310742597e+00
2.64951221904969358434e+00
0.00000000000000000000e+00
1.23145539890951938311e+00
5.78388812868664725642e+00
6.72579634771661272197e+00
3.26689088419942041952e+00
5.86852617706919987839e-01
0.00000000000000000000e+00
7.78438585930410287261e+00
7.49347897014782304836e+00
3.03155397794294323432e+00
1.29952217658325164251e+00
1.81964944147909379879e+00
3.10355246075816770812e+00
2.19811617607118936490e+00
4.91262894459725618646e+00
1.24689131908131578541e+00
3.87379073545293328706e+00
3.75796433518926598083e+00
1.66428685488517213997e+00
3.10211178203863724434e+00
2.43527522414381608629e-01
6.38591296398341068397e+00
7.22936104409413471394e-02
3.22061839755938628116e+00
6.13293002237791995412e+00
power scale = 3.21467840934938742237e-01
total roots = 153
roots size = 153
(0.00000000000000000000e+00 0.00000000000000000000e+00 0.00000000000000000000e+00 0.00000000000000000000e+00)
(3.78503561019897460938e-01 5.06511211395263671875e-01 -1.24911999702453613281e+00 0.00000000000000000000e+00)
(-7.05312728881835937500e-01 4.01921272277832031250e-02 9.27562713623046875000e-01 0.00000000000000000000e+00)
(-1.00828528404235839844e+00 1.05050683021545410156e+00 1.16747403144836425781e+00 0.00000000000000000000e+00)
(-3.71017098426818847656e-01 -7.92982578277587890625e-02 3.61548662185668945312e-01 0.00000000000000000000e+00)
(-7.82345533370971679688e-01 -4.80368375778198242188e-01 -9.51946377754211425781e-01 0.00000000000000000000e+00)
(1.55325651168823242188e-01 7.26788997650146484375e-01 -5.51872968673706054688e-01 0.00000000000000000000e+00)
(4.25608158111572265625e-02 3.83806228637695312500e-02 -1.36755508184432983398e+00 0.00000000000000000000e+00)
(-1.66680812835693359375e-01 -8.53107333183288574219e-01 -8.24689984321594238281e-01 0.00000000000000000000e+00)
(-6.12078070640563964844e-01 2.02841520309448242188e-01 -9.63899850845336914062e-01 0.00000000000000000000e+00)
(-9.63367581367492675781e-01 1.42983675003051757812e-01 5.38305282592773437500e-01 0.00000000000000000000e+00)
(1.61925315856933593750e-01 -3.43359470367431640625e-01 -1.37412136793136596680e+00 0.00000000000000000000e+00)
(-9.51195597648620605469e-01 9.89294528961181640625e-01 1.28975248336791992188e+00 0.00000000000000000000e+00)
(-3.94005537033081054688e-01 2.14065551757812500000e-01 1.01098823547363281250e+00 0.00000000000000000000e+00)
(-1.52590632438659667969e-01 3.44589710235595703125e-01 1.18665742874145507812e+00 0.00000000000000000000e+00)
(-7.93574094772338867188e-01 -7.29923248291015625000e-02 -1.09221053123474121094e+00 0.00000000000000000000e+00)
(-2.69017219543457031250e-01 4.88443613052368164062e-01 -8.09693574905395507812e-01 0.00000000000000000000e+00)
(-7.18889832496643066406e-01 -5.90362787246704101562e-01 5.49571037292480468750e-01 0.00000000000000000000e+00)
(9.79326725006103515625e-01 -6.84538602828979492188e-01 -1.10600000619888305664e+00 0.00000000000000000000e+00)
(-1.03058481216430664062e+00 -7.88610816001892089844e-01 1.09419822692871093750e-02 0.00000000000000000000e+00)
(7.61389970779418945312e-01 3.35575819015502929688e-01 -1.24292421340942382812e+00 0.00000000000000000000e+00)
(-2.79564857482910156250e-01 1.27723693847656250000e-01 -1.37708210945129394531e+00 0.00000000000000000000e+00)
(-1.30216282606124877930e+00 -5.94154000282287597656e-01 1.40552520751953125000e-02 0.00000000000000000000e+00)
(-1.20783329010009765625e-01 -3.66264104843139648438e-01 3.38405847549438476562e-01 0.00000000000000000000e+00)
(3.37873935699462890625e-01 -4.58829641342163085938e-01 4.16444778442382812500e-01 0.00000000000000000000e+00)
(-9.39538836479187011719e-01 3.60463619232177734375e-01 7.75336265563964843750e-01 0.00000000000000000000e+00)
(1.28960847854614257812e+00 -3.23831081390380859375e-01 -6.76672697067260742188e-01 0.00000000000000000000e+00)
